cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_303_NH2_SH_H_H-L2_207_CHO_H_H-HCB_A-AA,0.61086,2358.56,1.30578,29.58964,2.231
T3_303_NH2_SH_H_H-L2_215_CHO_H_H-HCB_A-AA,0.53452,2062.6,0.910482,22.58023,1.628
T3_303_NH2_NO2_H_H-L2_214_CHO_H_H-HCB_A-AA,0.54912,2955.94,1.18378,22.63728,1.69
T3_303_NH2_NO2_H_H-L2_203_CHO_H_H-HCB_A-AA,0.63052,3278.63,1.70625,29.73015,2.56
T3_303_NH2_OH_H_H-L2_204_CHO-HCB_A-AA,0.47008,2269.03,0.727364,17.67955,0.973
T3_303_NH2_NO_H_H-L2_212_CHO_H_H-HCB_A-AA,0.5706,2157.06,1.08618,27.97925,2.412
T3_303_NH2_NO_H_H-L2_217_CHO_H_H-HCB_A-AA,0.59038,2239.5,1.20565,28.16151,2.501
T3_303_NH2_OH_H_H-L2_212_CHO_H_H-HCB_A-AA,0.57288,2171.04,1.11234,27.97925,2.403
T3_303_NH2_I_H_H-L2_215_CHO_H_H-HCB_A-AA,0.52112,1741.19,0.740877,21.48239,1.428
T3_303_NH2_I_H_H-L2_209_CHO_H_H-HCB_A-AA,0.56906,1874.19,0.964134,27.92707,2.516
T3_303_NH2_NO2_H_H-L2_205_CHO_H_H-HCB_A-AA,0.5744,3141.86,1.36212,25.61645,2.237
T3_303_NH2_CN_H_H-L2_208_CHO_H_H-HCB_A-AA,0.60506,2432.22,1.32274,29.58964,1.992
T3_303_NH2_OCOCH3_H_H-L2_216_CHO_H_H-HCB_A-AA,0.58248,5976.17,1.53291,20.79743,2.393
T3_303_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,0.64734,4149.41,2.03913,29.80542,2.949
T3_303_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,0.60258,2025.32,1.1206,29.58964,2.1
T3_303_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,0.63512,4100.95,1.96186,29.38357,2.904
T3_303_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,0.5253,2158.91,0.90831,21.75087,1.416
T3_303_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,0.4546,1887.9,0.593718,16.21996,0.958
T3_303_NH2_COOH_H_H-L2_206_CHO_H_H-HCB_A-AA,0.58164,2966.98,1.32559,25.85074,2.167
T3_303_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,0.5252,2178.56,0.908137,21.74509,1.456
T3_303_NH2_CHS_H_H-L2_208_CHO_H_H-HCB_A-AA,0.62054,3188.92,1.65809,29.7107,2.575
T3_303_NH2_NH2_H_H-L2_202_CHO_H_H-HCB_A-AA,0.53496,2241.45,0.973566,23.11046,1.584
T3_303_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,0.59248,4005.83,1.64262,25.70283,2.71
T3_303_NH2_Cl_H_H-L2_210_CHO_H_H-HCB_A-AA,0.5272,2094.43,0.896316,22.58019,1.558
T3_303_NH2_CHS_H_H-L2_203_CHO_H_H-HCB_A-AA,0.62564,3104.36,1.64692,29.7107,2.601
T3_303_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,0.6414,4178.88,2.05246,29.80542,2.954
T3_303_NH2_I_H_H-L2_206_CHO_H_H-HCB_A-AA,0.55964,1796.09,0.859705,25.38124,1.805
T3_303_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,0.6052,2396.8,1.3094,29.58964,2.046
T3_303_NH2_CN_H_H-L2_203_CHO_H_H-HCB_A-AA,0.61124,2391.26,1.31578,29.58964,2.198
