cifname,value1,value2
T3_303_NH2_CHO_H_H-L2_217_CHO_H_H-HCB_A-AA,3.109,0.2055646275
T3_303_NH2_COOH_H_H-L2_204_CHO-HCB_A-AA,1.21,0.1348576114
T3_303_NH2_NO_H_H-L2_208_CHO_H_H-HCB_A-AA,2.3,0.2443431983
T3_303_NH2_CH3_H_H-L2_209_CHO_H_H-HCB_A-AA,3.709,0.146721514
T3_303_NH2_CHS_H_H-L2_205_CHO_H_H-HCB_A-AA,2.564,0.2332253059
T3_303_NH2_I_H_H-L2_211_CHO_H_H-HCB_A-AA,1.876,0.0613552522
T3_303_NH2_CHS_H_H-L2_207_CHO_H_H-HCB_A-AA,2.728,0.1942009921
T3_303_NH2_NO2_H_H-L2_203_CHO_H_H-HCB_A-AA,2.718,0.3084547001
T3_303_NH2_SH_H_H-L2_215_CHO_H_H-HCB_A-AA,1.623,0.0495809454
T3_303_NH2_OCOCH3_H_H-L2_210_CHO_H_H-HCB_A-AA,3.404,0.3328133422
T3_303_NH2_NH2_H_H-L2_214_CHO_H_H-HCB_A-AA,1.648,0.0938928397
T3_303_NH2_I_H_H-L2_209_CHO_H_H-HCB_A-AA,2.475,0.0640588692
T3_303_NH2_SO2H_H_H-L2_204_CHO-HCB_A-AA,1.295,0.0950552016
T3_303_NH2_SO2H_H_H-L2_212_CHO_H_H-HCB_A-AA,3.02,0.2160559213
T3_303_NH2_Cl_H_H-L2_210_CHO_H_H-HCB_A-AA,1.738,0.1451505604
T3_303_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,2.029,0.138480392
T3_303_NH2_CH3_H_H-L2_211_CHO_H_H-HCB_A-AA,2.427,0.2388650814
T3_303_NH2_OCOCH3_H_H-L2_217_CHO_H_H-HCB_A-AA,5.173,0.2065090264
T3_303_NH2_NO_H_H-L2_210_CHO_H_H-HCB_A-AA,1.741,0.1618910269
T3_303_NH2_F_H_H-L2_203_CHO_H_H-HCB_A-AA,2.373,0.2976798915
T3_303_NH2_OH_H_H-L2_202_CHO_H_H-HCB_A-AA,1.679,0.1471149051
T3_303_NH2_CHS_H_H-L2_202_CHO_H_H-HCB_A-AA,1.999,0.1509924558
