cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_303_NH2_CHS_H_H-L2_203_CHO_H_H-HCB_A-AA,0.62564,3104.36,1.64692,29.7107,2.591
T3_303_NH2_CN_H_H-L2_217_CHO_H_H-HCB_A-AA,0.58492,2293.9,1.20226,28.16151,2.689
T3_303_NH2_Cl_H_H-L2_217_CHO_H_H-HCB_A-AA,0.58886,2220.04,1.19203,28.16151,2.604
T3_303_NH2_NO2_H_H-L2_217_CHO_H_H-HCB_A-AA,0.60438,3126.74,1.56419,28.3086,3.002
T3_303_NH2_NO2_H_H-L2_208_CHO_H_H-HCB_A-AA,0.62504,3322.01,1.71685,29.73015,2.708
T3_303_NH2_OMe_H_H-L2_205_CHO_H_H-HCB_A-AA,0.58658,3846.69,1.56174,25.69276,2.936
T3_303_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,0.5252,2178.56,0.908137,21.74509,1.531
T3_303_NH2_F_H_H-L2_204_CHO-HCB_A-AA,0.47342,2199.02,0.728273,17.95221,1.069
T3_303_NH2_CHS_H_H-L2_206_CHO_H_H-HCB_A-AA,0.58006,2831.77,1.28514,25.83089,2.418
T3_303_NH2_I_H_H-L2_210_CHO_H_H-HCB_A-AA,0.51642,1762.48,0.736117,21.43655,1.641
T3_303_NH2_CN_H_H-L2_209_CHO_H_H-HCB_A-AA,0.5718,2202.88,1.11919,27.92707,2.526
T3_303_NH2_OCOCH3_H_H-L2_215_CHO_H_H-HCB_A-AA,0.58396,5915.24,1.53681,20.89364,3.111
T3_303_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,0.5253,2158.91,0.90831,21.75087,1.51
T3_303_NH2_CN_H_H-L2_205_CHO_H_H-HCB_A-AA,0.55096,2308.16,1.04219,25.45503,2.089
T3_303_NH2_OH_H_H-L2_209_CHO_H_H-HCB_A-AA,0.57922,2206.69,1.14965,27.92707,2.62
T3_303_NH2_NH2_H_H-L2_204_CHO-HCB_A-AA,0.46584,2229.74,0.722893,17.41509,1.01
T3_303_NH2_NH2_H_H-L2_212_CHO_H_H-HCB_A-AA,0.57086,2184.9,1.1101,27.97925,2.493
T3_303_NH2_NO_H_H-L2_206_CHO_H_H-HCB_A-AA,0.57038,2090.6,1.02761,25.80354,1.93
T3_303_NH2_CHO_H_H-L2_205_CHO_H_H-HCB_A-AA,0.57176,3107.78,1.35821,25.59413,2.51
T3_303_NH2_CN_H_H-L2_201_CHO_H_H-HCB_A-AA,0.60916,2154.76,1.21339,29.62455,2.356
T3_303_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,0.4782,1805.96,0.688741,19.16605,1.782
T3_303_NH2_SH_H_H-L2_208_CHO_H_H-HCB_A-AA,0.61072,2372.89,1.31892,29.58964,2.247
T3_303_NH2_NH2_H_H-L2_206_CHO_H_H-HCB_A-AA,0.57088,2089.36,1.05482,25.80354,1.947
T3_303_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,0.52814,1891.26,0.818666,22.42193,1.553
T3_303_NH2_OH_H_H-L2_214_CHO_H_H-HCB_A-AA,0.53758,2145.88,0.94785,22.58025,1.612
T3_303_NH2_OH_H_H-L2_217_CHO_H_H-HCB_A-AA,0.59266,2301.09,1.23632,28.16151,2.918
T3_303_NH2_COOH_H_H-L2_203_CHO_H_H-HCB_A-AA,0.62806,3303.32,1.70068,29.72946,2.913
T3_303_NH2_OH_H_H-L2_210_CHO_H_H-HCB_A-AA,0.53286,2195.72,0.942581,22.58019,1.744
T3_303_NH2_H_H_H-L2_216_CHO_H_H-HCB_A-AA,0.54332,2288.65,0.992682,22.58019,1.739
