package_index,molecule_id,requested_target_pg,analyzer_pg,actual_pg,pg_exact_match,pg_compatible,minimum_pair_distance_angstrom,maximum_operation_error_angstrom,passed
55,mol_032_C3k3,C3,C3v,C3v,False,True,1.1112730008856735,2.220446049250313e-15,True
56,mol_033_C3k3,C3,C3v,C3v,False,True,1.1097769329567366,1.6653345369377348e-15,True
57,mol_034_C3k3,C3,C3,C3,True,True,1.0525075992044668,1.4895204919483639e-15,True
58,mol_035_C3k3,C3,C3,C3,True,True,1.0301811529634455,1.831026719408895e-15,True
59,mol_036_C3k3,C3,C3,C3,True,True,1.1120007009268746,1.4432899320127035e-15,True
60,mol_037_C3k3,C3,C3v,C3v,False,True,1.0825092025036813,2.0471501066083613e-15,True
61,mol_038_C3k3,C3,C3,C3,True,True,1.1091520693526162,1.88411095042053e-15,True
62,mol_039_C3k3,C3,C3v,C3v,False,True,1.1094924094934275,1.790180836524724e-15,True
63,mol_040_C3k3,C3,C3,C3,True,True,0.9909553732840122,1.7342238036525468e-15,True
64,mol_041_C3k3,C3,C3,C3,True,True,0.9929761432232918,2.1868857395626282e-15,True
65,mol_042_C3k3,C3,C3,C3,True,True,1.1092007931362389,1.6011864169946884e-15,True
66,mol_043_C3k3,C3,C3v,C3v,False,True,0.9940856408732806,1.3877787807814457e-15,True
67,mol_044_C3k3,C3,D3,D3,False,True,1.1247354946126935,1.6011864169946884e-15,True
68,mol_045_C3k3,C3,C3v,C3v,False,True,1.12712161663308,1.4405894101501018e-15,True
69,mol_046_C3k3,C3,C3,C3,True,True,1.046097519931676,1.88411095042053e-15,True
70,mol_047_C3k3,C3,C3v,C3v,False,True,1.110856240938449,1.831026719408895e-15,True
71,mol_048_C3k3,C3,C3v,C3v,False,True,1.0525766025474477,2.0261570199409107e-15,True
72,mol_049_C3k3,C3,C3,C3,True,True,0.9925430433683617,1.831026719408895e-15,True
73,mol_050_C3k3,C3,D3h,D3h,False,True,1.1100521804842445,1.6011864169946884e-15,True
74,mol_051_C3k3,C3,C3,C3,True,True,1.086691593866958,8.617648093045562e-16,True
75,mol_052_C3k3,C3,D3h,D3h,False,True,1.081648999159741,1.8839096949108125e-15,True
76,mol_053_C3k3,C3,C3v,C3v,False,True,1.1102896577963026,2.2644195468014703e-15,True
77,mol_054_C3k3,C3,C3,C3,True,True,1.108005122555389,1.884928529521895e-15,True
78,mol_055_C3k3,C3,C3,C3,True,True,1.0458770637690402,2.1094237467877974e-15,True
79,mol_056_C3k3,C3,C3v,C3v,False,True,1.048463247610409,1.790180836524724e-15,True
80,mol_057_C3k3,C3,C3,C3,True,True,1.0464962312109325,1.6011864169946884e-15,True
81,mol_058_C3k3,C3,C3v,C3v,False,True,1.109720199184793,1.616509124176106e-15,True
82,mol_059_C3k3,C3,C3v,C3v,False,True,1.048111171164313,2.220446049250313e-15,True
83,mol_060_C3k3,C3,C3v,C3v,False,True,1.109783815713668,2.220446049250313e-15,True
84,mol_061_C3k3,C3,C3v,C3v,False,True,1.1123137466642818,1.6011864169946884e-15,True
85,mol_062_C3k3,C3,T,C3,True,True,1.0453731801426769,1.616509124176106e-15,True
86,mol_063_C3k3,C3,C3,C3,True,True,1.044887837123975,1.831026719408895e-15,True
87,mol_064_C3k3,C3,Td,C3v,False,True,1.1096663844412584,1.3322676295501878e-15,True
88,mol_065_C3k3,C3,C3v,C3v,False,True,1.049212807131548,2.0471501066083613e-15,True
89,mol_066_C3k3,C3,C3,C3,True,True,0.7614427424623859,1.4217791915866692e-15,True
90,mol_067_C3k3,C3,C3v,C3v,False,True,1.1153436265119998,1.4155343563970746e-15,True
91,mol_068_C3k3,C3,C3,C3,True,True,1.0456672107159453,2.220446049250313e-15,True
92,mol_069_C3k3,C3,C3v,C3v,False,True,1.109158157655469,1.616509124176106e-15,True
93,mol_070_C3k3,C3,C3h,C3h,False,True,1.0455141821809464,1.4220500840710913e-15,True
94,mol_071_C3k3,C3,C3v,C3v,False,True,1.1105121480797786,1.6011864169946884e-15,True
95,mol_072_C3k3,C3,C3h,C3h,False,True,1.1091194552941916,2.1868857395626282e-15,True
96,mol_073_C3k3,C3,C3h,C3h,False,True,1.0441791887635161,2.7200464103316335e-15,True
97,mol_074_C3k3,C3,C3,C3,True,True,1.0457506030844037,1.88411095042053e-15,True
