cifname,Pore_diameters,GCMC吸附
T3_301_NH2_CN_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.502
T3_301_NH2_CN_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.327
T3_301_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.462
T3_301_NH2_CN_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.554
T3_301_NH2_CN_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,1.939
T3_301_NH2_CN_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.043
T3_301_NH2_CN_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.191
T3_301_NH2_CN_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.001
T3_301_NH2_CN_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.343
T3_301_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,0.963
T3_301_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,1.025
T3_301_NH2_CN_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,0.92
T3_301_NH2_CN_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.208
T3_301_NH2_COOH_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.951
T3_301_NH2_COOH_H_H-L2_202_CHO_H_H-HCB_A-AA,14.96912,1.323
T3_301_NH2_COOH_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,2.028
T3_301_NH2_COOH_H_H-L2_204_CHO-HCB_A-AA,8.67162,0.734
T3_301_NH2_COOH_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.957
T3_301_NH2_COOH_H_H-L2_206_CHO_H_H-HCB_A-AA,18.46437,1.573
T3_301_NH2_COOH_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,2.038
T3_301_NH2_COOH_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,2.073
