cifname,value1,value2
T3_301_NH2_NH2_H_H-L2_213_CHO_H_H-HCB_A-AA,1.426,0.1037199195
T3_301_NH2_EPO_H_H-L2_207_CHO_H_H-HCB_A-AA,2.072,0.1516417792
T3_301_NH2_CHO_H_H-L2_212_CHO_H_H-HCB_A-AA,1.953,0.1858365619
T3_301_NH2_Cl_H_H-L2_206_CHO_H_H-HCB_A-AA,1.297,0.0782221436
T3_301_NH2_H_H_H-L2_211_CHO_H_H-HCB_A-AA,1.191,0.1467871524
T3_301_NH2_NH2_H_H-L2_204_CHO-HCB_A-AA,0.558,0.0616996835
T3_301_NH2_OMe_H_H-L2_216_CHO_H_H-HCB_A-AA,1.293,0.0865248518
T3_301_NH2_NO2_H_H-L2_212_CHO_H_H-HCB_A-AA,2.054,0.1983140671
T3_301_NH2_OMe_H_H-L2_212_CHO_H_H-HCB_A-AA,2.458,0.2656343362
T3_301_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,1.249,0.1223016256
T3_301_NH2_CHS_H_H-L2_205_CHO_H_H-HCB_A-AA,1.668,0.137025902
T3_301_NH2_NO_H_H-L2_213_CHO_H_H-HCB_A-AA,1.421,0.0843602604
T3_301_NH2_H_H_H-L2_204_CHO-HCB_A-AA,0.523,0.0535055547
T3_301_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,1.358,0.0682241182
T3_301_NH2_OH_H_H-L2_213_CHO_H_H-HCB_A-AA,1.346,0.1821085622
T3_301_NH2_I_H_H-L2_214_CHO_H_H-HCB_A-AA,0.917,0.0615433628
T3_301_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,0.866,0.0938723189
T3_301_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,2.093,0.0771058674
T3_301_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,1.106,0.1242550748
T3_301_NH2_CN_H_H-L2_201_CHO_H_H-HCB_A-AA,1.592,0.104201737
T3_301_NH2_OH_H_H-L2_209_CHO_H_H-HCB_A-AA,1.951,0.1420514761
