SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,XYZ_Path,Source,Plane_RMSD,Plane_MaxDist
O=S(=O)(O)c1ccc(-c2nc(-c3ccc(S(=O)(=O)O)cc3)nc(-c3ccc(S(=O)(=O)O)cc3)n2)cc1,triazine_triphenyl_C3,SO3H_direct,C3,C3,mixed,-79.42736004582974,,original_augmented,,
FC(F)(F)C#Cc1cc(C#CC(F)(F)F)cc(C#CC(F)(F)F)c1,triethynylbenzene_C3,CF3_direct,C3,C3v,planar,20.62877436390631,,original_augmented,,
CS(=O)(=O)NC#Cc1cc(C#CNS(C)(=O)=O)cc(C#CNS(C)(=O)=O)c1,triethynylbenzene_C3,NHSO2_direct,C3,C3,mixed,-152.78016810245413,,original_augmented,,
NS(=O)(=O)C#Cc1cc(C#CS(N)(=O)=O)cc(C#CS(N)(=O)=O)c1,triethynylbenzene_C3,SO2NH2_direct,C3,C3,mixed,-248.67527210490087,,original_augmented,,
Nc1ccc(C#Cc2nc(C#Cc3ccc(N)cc3)nc(C#Cc3ccc(N)cc3)n2)cc1,triethynyltriazine_C3,NH2_ph,C3,C3v,planar,-93.68327645383457,,original_augmented,,
CC(=O)NOc1cc(ONC(C)=O)cc(ONC(C)=O)c1,trihydroxybenzene_C3,NHacetyl_direct,C3,C3,mixed,8.388535068836493,,original_augmented,,
O=C(O)c1ccc(OC(=O)c2cc(C(=O)Oc3ccc(C(=O)O)cc3)cc(C(=O)Oc3ccc(C(=O)O)cc3)c2)cc1,trimesic_ester_C3,COOH_ph,C3,C3,mixed,117.82025778395914,,original_augmented,,
N#CNOC(=O)c1cc(C(=O)ONC#N)cc(C(=O)ONC#N)c1,trimesic_ester_C3,NHCN_direct,C3,C3,mixed,87.10857739100774,,original_augmented,,
O=C(OP(=O)(Cl)Cl)c1cc(C(=O)OP(=O)(Cl)Cl)cc(C(=O)OP(=O)(Cl)Cl)c1,trimesic_ester_C3,POCl2_direct,C3,C3,mixed,-118.2759363592381,,original_augmented,,
O=C(Nc1ccc(O)cc1)c1cc(C(=O)Nc2ccc(O)cc2)cc(C(=O)Nc2ccc(O)cc2)c1,trimesic_tris_amide_C3,OH_ph,C3,C3,mixed,5.614737523607115,,original_augmented,,
N#CSNC(=O)c1cc(C(=O)NSC#N)cc(C(=O)NSC#N)c1,trimesic_tris_amide_C3,SCN_direct,C3,C3,mixed,53.96682522685476,,original_augmented,,
O=C(O)C#Cc1ccc(-c2cc(-c3ccc(C#CC(=O)O)cc3)cc(-c3ccc(C#CC(=O)O)cc3)c2)cc1,triphenylbenzene_C3,CCCOOH_direct,C3,C3,mixed,-11.975668832223969,,original_augmented,,
C=Cc1ccc(-c2cc(-c3ccc(C=C)cc3)cc(-c3ccc(C=C)cc3)c2)cc1,triphenylbenzene_C3,vinyl_direct,C3,C3,mixed,95.92693997527265,,original_augmented,,
