SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,XYZ_Path,Source,Plane_RMSD,Plane_MaxDist
O=CNC(=O)C(=O)NC1=CC(NC(=O)C(=O)NC=O)=CC(NC(=O)C(=O)NC=O)=CC(NC(=O)C(=O)NC=O)=C1,cyclooctatetraene__oxamide,CHO_direct,C4,S4,nonplanar,-36.130046533172354,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_003935.xyz,hierarchical_v1,2.3267561560072068,4.1970064377510035
N#CNC(=O)C(=O)NC1=CC(NC(=O)C(=O)NC#N)=CC(NC(=O)C(=O)NC#N)=CC(NC(=O)C(=O)NC#N)=C1,cyclooctatetraene__oxamide,CN_direct,C4,S4,nonplanar,-48.14171281097893,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_003945.xyz,hierarchical_v1,2.251484723618847,4.008498600884591
C#CNC(=O)C(=O)NC1=CC(NC(=O)C(=O)NC#C)=CC(NC(=O)C(=O)NC#C)=CC(NC(=O)C(=O)NC#C)=C1,cyclooctatetraene__oxamide,ethynyl_direct,C4,S4,nonplanar,97.61130574871648,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_003956.xyz,hierarchical_v1,2.6092282079590445,5.075735100262632
O=C(NC1=CC(NC(=O)C(=O)N[N+](=O)[O-])=CC(NC(=O)C(=O)N[N+](=O)[O-])=CC(NC(=O)C(=O)N[N+](=O)[O-])=C1)C(=O)N[N+](=O)[O-],cyclooctatetraene__oxamide,NO2_direct,C4,S4,nonplanar,-223.9074776464116,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical/xyz/mol_000408.xyz,hierarchical_v1,2.4095475612558115,4.301653549206614
[N-]=[N+]=NNC(=O)C(=O)NC1=CC(NC(=O)C(=O)NN=[N+]=[N-])=CC(NC(=O)C(=O)NN=[N+]=[N-])=CC(NC(=O)C(=O)NN=[N+]=[N-])=C1,cyclooctatetraene__oxamide,N3_direct,C4,S4,nonplanar,273.9659649720944,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical/xyz/mol_000409.xyz,hierarchical_v1,2.407059509872532,3.925312413061963
O=C(NN=C=S)C(=O)NC1=CC(NC(=O)C(=O)NN=C=S)=CC(NC(=O)C(=O)NN=C=S)=CC(NC(=O)C(=O)NN=C=S)=C1,cyclooctatetraene__oxamide,NCS_direct,C4,S4,nonplanar,266.1101531401904,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical/xyz/mol_000411.xyz,hierarchical_v1,2.466239281793467,4.046125072048459
O=C(Cl)NC(=O)C(=O)NC1=CC(NC(=O)C(=O)NC(=O)Cl)=CC(NC(=O)C(=O)NC(=O)Cl)=CC(NC(=O)C(=O)NC(=O)Cl)=C1,cyclooctatetraene__oxamide,COCl_direct,C4,S4,nonplanar,-129.75622814220583,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_003971.xyz,hierarchical_v1,2.293455877741372,4.019433314896547
O=[N+]([O-])c1ccc(-c2ccc(C3=CC(c4ccc(-c5ccc([N+](=O)[O-])cc5)cc4)=CC(c4ccc(-c5ccc([N+](=O)[O-])cc5)cc4)=CC(c4ccc(-c5ccc([N+](=O)[O-])cc5)cc4)=C3)cc2)cc1,cyclooctatetraene__biphenyl,NO2_direct,C4,S4,nonplanar,346.74861374458067,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical/xyz/mol_007029.xyz,hierarchical_v1,3.859136265498852,7.242416490032573
O=C(NS)C(=O)NC1=CC(NC(=O)C(=O)NS)=CC(NC(=O)C(=O)NS)=CC(NC(=O)C(=O)NS)=C1,cyclooctatetraene__oxamide,SH_direct,C4,S4,nonplanar,170.8292549334471,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical_supplement/xyz/mol_000074.xyz,hierarchical_v2,2.338751707890342,4.3023237156199405
[O]C(=O)NC(=O)C(=O)NC1=CC(NC(=O)C(=O)NC([O])=O)=CC(NC(=O)C(=O)NC([O])=O)=CC(NC(=O)C(=O)NC([O])=O)=C1,cyclooctatetraene__oxamide,PB_COOH,C4,S4,nonplanar,-126.8753113958092,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical_supplement/xyz/mol_000466.xyz,hierarchical_v2,2.430511370391233,4.338449036478599
N#CC#CNC(=O)C(=O)NC1=CC(NC(=O)C(=O)NC#CC#N)=CC(NC(=O)C(=O)NC#CC#N)=CC(NC(=O)C(=O)NC#CC#N)=C1,cyclooctatetraene__oxamide,CCCN_direct,C4,S4,nonplanar,124.13051609799938,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_003977.xyz,hierarchical_v2,2.9834282049905334,6.0350999632031295
Fc1c(F)c(C2=CC(c3c(F)c(F)c(Br)c(F)c3F)=CC(c3c(F)c(F)c(Br)c(F)c3F)=CC(c3c(F)c(F)c(Br)c(F)c3F)=C2)c(F)c(F)c1Br,cyclooctatetraene__tetrafluorobenzene,Br_direct,C4,S4,nonplanar,147.54208145899182,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/hierarchical_supplement/xyz/mol_001956.xyz,hierarchical_v2,2.5149579402916085,4.61407204837581
O=CC12CC3(C=O)CC(C=O)(C1)CC(C=O)(C2)C3,pb_ADAM_D4,CHO_direct,C4,S4,nonplanar,54.48224343545715,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002845.xyz,pycofbuilder,1.5942238683721976,2.44444730816804
C=CC12CC3(C=C)CC(C=C)(C1)CC(C=C)(C2)C3,pb_ADAM_D4,vinyl_direct,C4,S4,nonplanar,84.2139499996081,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002865.xyz,pycofbuilder,1.717385831082078,2.6299088273261155
CC(=O)c1ccc(C23CC4(c5ccc(C(C)=O)cc5)CC(c5ccc(C(C)=O)cc5)(C2)CC(c2ccc(C(C)=O)cc2)(C3)C4)cc1,pb_ADAM_D4,acetyl_ph,C4,S4,nonplanar,220.98429951545825,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002883.xyz,pycofbuilder,3.1698523289251708,7.113025846503179
N#CCC12CC3(CC#N)CC(CC#N)(C1)CC(CC#N)(C2)C3,pb_ADAM_D4,PB_CHCN,C4,S4,nonplanar,66.37972060483082,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002915.xyz,pycofbuilder,1.754630836527092,3.1051121475211265
N#Cc1ccc2c(c1)-c1cc(C#N)ccc1C21c2ccc(C#N)cc2-c2cc(C#N)ccc21,pb_SBFE_D4,CN_direct,C4,D2d,nonplanar,165.20374403560243,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002931.xyz,pycofbuilder,2.1097423039767906,3.331259533405104
N#Cc1ccc(-c2ccc3c(c2)-c2cc(-c4ccc(C#N)cc4)ccc2C32c3ccc(-c4ccc(C#N)cc4)cc3-c3cc(-c4ccc(C#N)cc4)ccc32)cc1,pb_SBFE_D4,CN_ph,C4,S4,nonplanar,261.98971937259864,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002932.xyz,pycofbuilder,3.1936248634225133,5.880142216013247
O=[N+]([O-])c1ccc2c(c1)-c1cc([N+](=O)[O-])ccc1C21c2ccc([N+](=O)[O-])cc2-c2cc([N+](=O)[O-])ccc21,pb_SBFE_D4,NO2_direct,C4,D2d,nonplanar,237.9823692227404,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/pycofbuilder/xyz/mol_002935.xyz,pycofbuilder,2.188303947364979,3.6621367247623784
